ICESsubarea,EcoRegion
27.8.a,Bay of Biscay
27.8.b,Bay of Biscay
27.8.d,Bay of Biscay
27.8.d.2,Bay of Biscay
27.8.c,Bay of Biscay
27.8.e,Bay of Biscay
27.8.e.2,Bay of Biscay
27.9.a,Bay of Biscay
27.9.b.2,Bay of Biscay
27.14.a,Icelandic Waters
27.5.a,Icelandic Waters
27.5.a.2,Icelandic Waters
27.6.a,Celtic Sea
27.6.b,Celtic Sea
27.6.b.2,Celtic Sea
27.7.a,Celtic Sea
27.7.b,Celtic Sea
27.7.c,Celtic Sea
27.7.c.2,Celtic Sea
27.7.f,Celtic Sea
27.7.g,Celtic Sea
27.7.h,Celtic Sea
27.7.j,Celtic Sea
27.7.j.1,Celtic Sea
27.7.j.2,Celtic Sea
27.7.k,Celtic Sea
27.7.k.2,Celtic Sea
27.2.a,Norwegian Sea
27.2.a.1,Norwegian Sea
27.2.a.2,Norwegian Sea
27.2.b,Norwegian Sea
27.2.b.1,Norwegian Sea
27.2.b.2,Norwegian Sea
27.6.b.1,Oceanic Northeast Atlantic
27.7.c.1,Oceanic Northeast Atlantic
27.7.k.1,Oceanic Northeast Atlantic
27.8.d.1,Oceanic Northeast Atlantic
27.8.e.1,Oceanic Northeast Atlantic
27.9.b,Oceanic Northeast Atlantic
27.9.b.1,Oceanic Northeast Atlantic
27.10.a,Oceanic Northeast Atlantic
27.10.a.1,Oceanic Northeast Atlantic
27.10.b,Oceanic Northeast Atlantic
27.12.c,Oceanic Northeast Atlantic
27.12,Oceanic Northeast Atlantic
27.12.a,Oceanic Northeast Atlantic
27.12.a.1,Oceanic Northeast Atlantic
27.12.b,Oceanic Northeast Atlantic
27.14.b.1,Oceanic Northeast Atlantic
27.4,Greater North Sea
27.4.a,Greater North Sea
27.4.b,Greater North Sea
27.4.c,Greater North Sea
27.7.d,Greater North Sea
27.7.e,Greater North Sea
27.3.a,Greater North Sea
27.3.a.20,Greater North Sea
27.3.a.21,Greater North Sea
27.3.c.22,Baltic Sea
27.3.b.23,Baltic Sea
27.3.d.24,Baltic Sea
27.3.d.25,Baltic Sea
27.3.d.26,Baltic Sea
27.3.d.27,Baltic Sea
27.3.d.28,Baltic Sea
27.3.d.28.1,Baltic Sea
27.3.d.28.2,Baltic Sea
27.3.d.29,Baltic Sea
27.3.d.30,Baltic Sea
27.3.d.31,Baltic Sea
27.3.d.32,Baltic Sea
21.3.l,NAFO
21.3.m,NAFO
21.3.n,NAFO
21.3.o,NAFO
27.1,Barents Sea
27.1.a,Barents Sea
27.1.b,Barents Sea
27.5.b.1,Faroes
27.5.b.2,Faroes
27.5.b,Faroes
27.14.b,Greenland Sea
27.14.b.2,Greenland Sea
